Timestamp,Action,TableName,RecordID,SqlQuery,UserName,ServerIP,RequestUrl,RequestData,RequestCompleted,RequestMsg
"2020-04-15 01:32:58",view,ficha,1,"SELECT   ficha.id, ficha.fecha, ficha.fk_receptor, recibido.lugar_recibido AS recibido_lugar_recibido, ficha.fk_emisor, enviado.lugar_salida AS enviado_lugar_salida, ficha.user_created FROM ficha INNER JOIN enviado ON ficha.fk_emisor = enviado.id_enviado INNER JOIN recibido ON ficha.fk_receptor = recibido.id_recibido INNER JOIN centro ON enviado.lugar_salida = centro.id_centro INNER JOIN centro AS centro2 ON recibido.lugar_recibido = centro2.id_centro INNER JOIN detalle_registro ON ficha.id = detalle_registro.fk_registro INNER JOIN producto ON detalle_registro.fk_producto = producto.id_producto WHERE  ficha.id = ?  LIMIT 1",,::1,ficha/view/1,[],true,
"2020-04-15 01:33:59",view,ficha,1,"SELECT   ficha.id, ficha.fecha, ficha.fk_receptor, recibido.lugar_recibido AS recibido_lugar_recibido, ficha.fk_emisor, enviado.lugar_salida AS enviado_lugar_salida, ficha.user_created FROM ficha INNER JOIN enviado ON ficha.fk_emisor = enviado.id_enviado INNER JOIN recibido ON ficha.fk_receptor = recibido.id_recibido INNER JOIN centro ON enviado.lugar_salida = centro.id_centro INNER JOIN centro AS centro2 ON recibido.lugar_recibido = centro2.id_centro INNER JOIN detalle_registro ON ficha.id = detalle_registro.fk_registro INNER JOIN producto ON detalle_registro.fk_producto = producto.id_producto WHERE  ficha.id = ?  LIMIT 1",,::1,ficha/view/1,[],true,
"2020-04-15 01:36:26",view,ficha,1,"SELECT   ficha.id, ficha.fecha, ficha.fk_receptor, recibido.lugar_recibido AS recibido_lugar_recibido, centro2.Nombre_centro AS centro2_Nombre_centro, centro2.Tel_centro AS centro2_Tel_centro, centro2.direccion_centro AS centro2_direccion_centro, centro2.numero_centro AS centro2_numero_centro, ficha.fk_emisor, enviado.lugar_salida AS enviado_lugar_salida, ficha.user_created, enviado.id_enviado AS enviado_id_enviado, enviado.fecha_enviado AS enviado_fecha_enviado, enviado.png AS enviado_png FROM ficha INNER JOIN enviado ON ficha.fk_emisor = enviado.id_enviado INNER JOIN recibido ON ficha.fk_receptor = recibido.id_recibido INNER JOIN centro ON enviado.lugar_salida = centro.id_centro INNER JOIN centro AS centro2 ON recibido.lugar_recibido = centro2.id_centro INNER JOIN detalle_registro ON ficha.id = detalle_registro.fk_registro INNER JOIN producto ON detalle_registro.fk_producto = producto.id_producto WHERE  ficha.id = ?  LIMIT 1",,::1,ficha/view/1,[],true,
"2020-04-15 01:36:59",view,ficha,1,"SELECT   ficha.id, ficha.fecha, ficha.fk_receptor, recibido.lugar_recibido AS recibido_lugar_recibido, centro2.Nombre_centro AS centro2_Nombre_centro, centro2.Tel_centro AS centro2_Tel_centro, centro2.direccion_centro AS centro2_direccion_centro, centro2.numero_centro AS centro2_numero_centro, ficha.fk_emisor, enviado.lugar_salida AS enviado_lugar_salida, ficha.user_created, enviado.id_enviado AS enviado_id_enviado, enviado.fecha_enviado AS enviado_fecha_enviado, enviado.png AS enviado_png FROM ficha INNER JOIN enviado ON ficha.fk_emisor = enviado.id_enviado INNER JOIN recibido ON ficha.fk_receptor = recibido.id_recibido INNER JOIN centro ON enviado.lugar_salida = centro.id_centro INNER JOIN centro AS centro2 ON recibido.lugar_recibido = centro2.id_centro INNER JOIN detalle_registro ON ficha.id = detalle_registro.fk_registro INNER JOIN producto ON detalle_registro.fk_producto = producto.id_producto WHERE  ficha.id = ?  LIMIT 1",,::1,ficha/view/1,[],true,
"2020-04-15 01:45:59",view,ficha,1,"SELECT   ficha.id, ficha.fecha, ficha.fk_receptor, recibido.lugar_recibido AS recibido_lugar_recibido, enviado.id_enviado AS enviado_id_enviado, enviado.fecha_enviado AS enviado_fecha_enviado, enviado.png AS enviado_png, centro.Nombre_centro AS centro_Nombre_centro, centro.Tel_centro AS centro_Tel_centro, centro.direccion_centro AS centro_direccion_centro, centro.numero_centro AS centro_numero_centro, ficha.fk_emisor, enviado.lugar_salida AS enviado_lugar_salida, recibido.id_recibido AS recibido_id_recibido, recibido.fecha_recibido AS recibido_fecha_recibido, recibido.png AS recibido_png, centro2.Nombre_centro AS centro2_Nombre_centro, centro2.Tel_centro AS centro2_Tel_centro, centro2.direccion_centro AS centro2_direccion_centro, centro2.numero_centro AS centro2_numero_centro, producto.nombre_producto AS producto_nombre_producto, producto.precio_producto AS producto_precio_producto, detalle_registro.fk_cantidad AS detalle_registro_fk_cantidad, producto.dimension_producto AS producto_dimension_producto, producto.peso_producto AS producto_peso_producto, producto.cantidad_producto AS producto_cantidad_producto, producto.desc_producto AS producto_desc_producto, producto.fk_categoria AS producto_fk_categoria, producto.fk_proveedor AS producto_fk_proveedor, ficha.user_created FROM ficha INNER JOIN enviado ON ficha.fk_emisor = enviado.id_enviado INNER JOIN recibido ON ficha.fk_receptor = recibido.id_recibido INNER JOIN centro ON enviado.lugar_salida = centro.id_centro INNER JOIN centro AS centro2 ON recibido.lugar_recibido = centro2.id_centro INNER JOIN detalle_registro ON ficha.id = detalle_registro.fk_registro INNER JOIN producto ON detalle_registro.fk_producto = producto.id_producto WHERE  ficha.id = ?  LIMIT 1",,::1,ficha/view/1,[],true,
"2020-04-15 01:46:25",view,ficha,1,"SELECT   ficha.id, ficha.fecha, ficha.fk_receptor, recibido.lugar_recibido AS recibido_lugar_recibido, enviado.id_enviado AS enviado_id_enviado, enviado.fecha_enviado AS enviado_fecha_enviado, enviado.png AS enviado_png, centro.Nombre_centro AS centro_Nombre_centro, centro.Tel_centro AS centro_Tel_centro, centro.direccion_centro AS centro_direccion_centro, centro.numero_centro AS centro_numero_centro, ficha.fk_emisor, enviado.lugar_salida AS enviado_lugar_salida, recibido.id_recibido AS recibido_id_recibido, recibido.fecha_recibido AS recibido_fecha_recibido, recibido.png AS recibido_png, centro2.Nombre_centro AS centro2_Nombre_centro, centro2.Tel_centro AS centro2_Tel_centro, centro2.direccion_centro AS centro2_direccion_centro, centro2.numero_centro AS centro2_numero_centro, producto.nombre_producto AS producto_nombre_producto, producto.precio_producto AS producto_precio_producto, detalle_registro.fk_cantidad AS detalle_registro_fk_cantidad, producto.dimension_producto AS producto_dimension_producto, producto.peso_producto AS producto_peso_producto, producto.cantidad_producto AS producto_cantidad_producto, producto.desc_producto AS producto_desc_producto, producto.fk_categoria AS producto_fk_categoria, producto.fk_proveedor AS producto_fk_proveedor, ficha.user_created FROM ficha INNER JOIN enviado ON ficha.fk_emisor = enviado.id_enviado INNER JOIN recibido ON ficha.fk_receptor = recibido.id_recibido INNER JOIN centro ON enviado.lugar_salida = centro.id_centro INNER JOIN centro AS centro2 ON recibido.lugar_recibido = centro2.id_centro INNER JOIN detalle_registro ON ficha.id = detalle_registro.fk_registro INNER JOIN producto ON detalle_registro.fk_producto = producto.id_producto WHERE  ficha.id = ?  LIMIT 1",,::1,ficha/view/1,[],true,
"2020-04-15 01:49:11",view,ficha,1,"SELECT   ficha.id, ficha.fecha, ficha.fk_receptor, recibido.lugar_recibido AS recibido_lugar_recibido, enviado.id_enviado AS enviado_id_enviado, enviado.fecha_enviado AS enviado_fecha_enviado, enviado.png AS enviado_png, centro.Nombre_centro AS centro_Nombre_centro, centro.Tel_centro AS centro_Tel_centro, centro.direccion_centro AS centro_direccion_centro, centro.numero_centro AS centro_numero_centro, ficha.fk_emisor, enviado.lugar_salida AS enviado_lugar_salida, recibido.id_recibido AS recibido_id_recibido, recibido.fecha_recibido AS recibido_fecha_recibido, recibido.png AS recibido_png, centro2.Nombre_centro AS centro2_Nombre_centro, centro2.Tel_centro AS centro2_Tel_centro, centro2.direccion_centro AS centro2_direccion_centro, centro2.numero_centro AS centro2_numero_centro, producto.nombre_producto AS producto_nombre_producto, producto.precio_producto AS producto_precio_producto, detalle_registro.fk_cantidad AS detalle_registro_fk_cantidad, producto.cantidad_producto AS producto_cantidad_producto, producto.dimension_producto AS producto_dimension_producto, producto.peso_producto AS producto_peso_producto, producto.desc_producto AS producto_desc_producto, producto.fk_categoria AS producto_fk_categoria, producto.fk_proveedor AS producto_fk_proveedor, ficha.user_created FROM ficha INNER JOIN enviado ON ficha.fk_emisor = enviado.id_enviado INNER JOIN recibido ON ficha.fk_receptor = recibido.id_recibido INNER JOIN centro ON enviado.lugar_salida = centro.id_centro INNER JOIN centro AS centro2 ON recibido.lugar_recibido = centro2.id_centro INNER JOIN detalle_registro ON ficha.id = detalle_registro.fk_registro INNER JOIN producto ON detalle_registro.fk_producto = producto.id_producto WHERE  ficha.id = ?  LIMIT 1",,::1,ficha/view/1,[],true,
"2020-04-15 01:49:16",userlogout,usuario,,,,::1,index/logout,[],true,
"2020-04-15 01:49:44",view,ficha,1,"SELECT   ficha.id, ficha.fecha, ficha.fk_receptor, recibido.lugar_recibido AS recibido_lugar_recibido, enviado.id_enviado AS enviado_id_enviado, enviado.fecha_enviado AS enviado_fecha_enviado, enviado.png AS enviado_png, centro.Nombre_centro AS centro_Nombre_centro, centro.Tel_centro AS centro_Tel_centro, centro.direccion_centro AS centro_direccion_centro, centro.numero_centro AS centro_numero_centro, ficha.fk_emisor, enviado.lugar_salida AS enviado_lugar_salida, recibido.id_recibido AS recibido_id_recibido, recibido.fecha_recibido AS recibido_fecha_recibido, recibido.png AS recibido_png, centro2.Nombre_centro AS centro2_Nombre_centro, centro2.Tel_centro AS centro2_Tel_centro, centro2.direccion_centro AS centro2_direccion_centro, centro2.numero_centro AS centro2_numero_centro, producto.nombre_producto AS producto_nombre_producto, producto.precio_producto AS producto_precio_producto, detalle_registro.fk_cantidad AS detalle_registro_fk_cantidad, producto.cantidad_producto AS producto_cantidad_producto, producto.dimension_producto AS producto_dimension_producto, producto.peso_producto AS producto_peso_producto, producto.desc_producto AS producto_desc_producto, producto.fk_categoria AS producto_fk_categoria, producto.fk_proveedor AS producto_fk_proveedor, ficha.user_created FROM ficha INNER JOIN enviado ON ficha.fk_emisor = enviado.id_enviado INNER JOIN recibido ON ficha.fk_receptor = recibido.id_recibido INNER JOIN centro ON enviado.lugar_salida = centro.id_centro INNER JOIN centro AS centro2 ON recibido.lugar_recibido = centro2.id_centro INNER JOIN detalle_registro ON ficha.id = detalle_registro.fk_registro INNER JOIN producto ON detalle_registro.fk_producto = producto.id_producto WHERE  ficha.id = ?  LIMIT 1",,::1,ficha/view/1,[],true,
"2020-04-15 01:52:36",view,ficha,,"SELECT   ficha.id, ficha.fecha, ficha.fk_receptor, recibido.lugar_recibido AS recibido_lugar_recibido, enviado.id_enviado AS enviado_id_enviado, enviado.fecha_enviado AS enviado_fecha_enviado, enviado.png AS enviado_png, centro.Nombre_centro AS centro_Nombre_centro, centro.Tel_centro AS centro_Tel_centro, centro.direccion_centro AS centro_direccion_centro, centro.numero_centro AS centro_numero_centro, ficha.fk_emisor, enviado.lugar_salida AS enviado_lugar_salida, recibido.id_recibido AS recibido_id_recibido, recibido.fecha_recibido AS recibido_fecha_recibido, recibido.png AS recibido_png, centro2.Nombre_centro AS centro2_Nombre_centro, centro2.Tel_centro AS centro2_Tel_centro, centro2.direccion_centro AS centro2_direccion_centro, centro2.numero_centro AS centro2_numero_centro, producto.nombre_producto AS producto_nombre_producto, producto.precio_producto AS producto_precio_producto, detalle_registro.fk_cantidad AS detalle_registro_fk_cantidad, producto.cantidad_producto AS producto_cantidad_producto, producto.dimension_producto AS producto_dimension_producto, producto.peso_producto AS producto_peso_producto, producto.desc_producto AS producto_desc_producto, producto.fk_categoria AS producto_fk_categoria, producto.fk_proveedor AS producto_fk_proveedor, ficha.user_created FROM ficha INNER JOIN enviado ON ficha.fk_emisor = enviado.id_enviado INNER JOIN recibido ON ficha.fk_receptor = recibido.id_recibido INNER JOIN centro ON enviado.lugar_salida = centro.id_centro INNER JOIN centro AS centro2 ON recibido.lugar_recibido = centro2.id_centro INNER JOIN detalle_registro ON ficha.id = detalle_registro.fk_registro INNER JOIN producto ON detalle_registro.fk_producto = producto.id_producto WHERE  ficha.id = ?  LIMIT 1",,::1,ficha/view/,[],false,"No record found"
